time,q11,q12,q13,q14,q15,q16,q17
0.740000,1.7490932986e-01,-7.2403844191e-01,-8.5063219764e-01,9.5155906356e-01,1.0086059493e+00,-4.4754814395e-01,5.8141662169e-02
0.750000,1.8522796875e-01,-7.3269533602e-01,-8.5694261682e-01,9.5110554408e-01,1.0306514070e+00,-4.5269283514e-01,4.1393801697e-02
0.760000,1.9643153121e-01,-7.4171624872e-01,-8.6270195919e-01,9.5007634575e-01,1.0547129644e+00,-4.5891374862e-01,2.1919086323e-02
0.770000,2.0617914013e-01,-7.4921702320e-01,-8.6667964262e-01,9.4866485384e-01,1.0756994600e+00,-4.6495601733e-01,3.8273703546e-03
0.780000,2.1655087348e-01,-7.5684744334e-01,-8.6988358845e-01,9.4662941785e-01,1.0979982561e+00,-4.7203327684e-01,-1.6486525054e-02
0.790000,2.2578046951e-01,-7.6328980468e-01,-8.7176588771e-01,9.4428467583e-01,1.1177128236e+00,-4.7895694909e-01,-3.5480809485e-02
0.800000,2.3536465734e-01,-7.6964143019e-01,-8.7285311582e-01,9.4133474300e-01,1.1379648487e+00,-4.8671642909e-01,-5.5943197385e-02
0.810000,2.4421114287e-01,-7.7514816082e-01,-8.7304082207e-01,9.3807984633e-01,1.1563304226e+00,-4.9442057703e-01,-7.5435482252e-02
0.820000,2.5311793497e-01,-7.8036525313e-01,-8.7257444858e-01,9.3432648370e-01,1.1744417714e+00,-5.0261502986e-01,-9.5464940541e-02
0.830000,2.6174273053e-01,-7.8505705185e-01,-8.7150644647e-01,9.3018382382e-01,1.1914872516e+00,-5.1096182341e-01,-1.1514996619e-01
0.840000,2.7011074717e-01,-7.8929818473e-01,-8.7002490267e-01,9.2574011156e-01,1.2075457887e+00,-5.1935576780e-01,-1.3437927207e-01
0.850000,2.7863757865e-01,-7.9326683675e-01,-8.6810189217e-01,9.2074640693e-01,1.2233147674e+00,-5.2817941147e-01,-1.5400316149e-01
0.860000,2.8662323457e-01,-7.9669295291e-01,-8.6603120621e-01,9.1569882746e-01,1.2375600573e+00,-5.3661463549e-01,-1.7232142149e-01
0.870000,2.9509663673e-01,-7.9999548208e-01,-8.6359794059e-01,9.0993146081e-01,1.2520472357e+00,-5.4570795086e-01,-1.9160913197e-01
0.880000,3.0281411538e-01,-8.0273653534e-01,-8.6124641494e-01,9.0435838928e-01,1.2647202202e+00,-5.5406415754e-01,-2.0900168281e-01
0.890000,3.1124568533e-01,-8.0542750905e-01,-8.5857730386e-01,8.9791467056e-01,1.2779577342e+00,-5.6323676081e-01,-2.2775573039e-01
0.900000,3.1877036031e-01,-8.0758717200e-01,-8.5615537914e-01,8.9188799372e-01,1.2892796793e+00,-5.7142644421e-01,-2.4426345117e-01
0.910000,3.2714118086e-01,-8.0971951984e-01,-8.5345488214e-01,8.8488125826e-01,1.3013215704e+00,-5.8051107370e-01,-2.6234581609e-01
0.920000,3.3451750310e-01,-8.1138099202e-01,-8.5109854087e-01,8.7846743689e-01,1.3114872203e+00,-5.8847292192e-01,-2.7803843806e-01
0.930000,3.4278310552e-01,-8.1300680328e-01,-8.4850942379e-01,8.7102357000e-01,1.3223979491e+00,-5.9732647225e-01,-2.9535240903e-01
0.940000,3.5003193830e-01,-8.1423766941e-01,-8.4630052795e-01,8.6428483734e-01,1.3315744163e+00,-6.0501874655e-01,-3.1031114261e-01
0.950000,3.5812880311e-01,-8.1540895664e-01,-8.4391425192e-01,8.5653851538e-01,1.3414221341e+00,-6.1352174101e-01,-3.2678796969e-01
0.960000,3.6525334015e-01,-8.1626499623e-01,-8.4189629193e-01,8.4953407651e-01,1.3497505644e+00,-6.2091674377e-01,-3.4109503770e-01
0.970000,3.7310571038e-01,-8.1703412065e-01,-8.3976332491e-01,8.4162477516e-01,1.3586033502e+00,-6.2897219232e-01,-3.5668480875e-01
0.980000,3.8009589986e-01,-8.1756221849e-01,-8.3795306954e-01,8.3441198939e-01,1.3662016555e+00,-6.3605188002e-01,-3.7041745159e-01
0.990000,3.8762234951e-01,-8.1798192971e-01,-8.3609236491e-01,8.2647983120e-01,1.3741255995e+00,-6.4358390703e-01,-3.8508324318e-01
1.000000,3.9445822970e-01,-8.1822230910e-01,-8.3448828449e-01,8.1911521108e-01,1.3810915463e+00,-6.5033663737e-01,-3.9831067383e-01
1.010000,4.0157773461e-01,-8.1834542917e-01,-8.3289569425e-01,8.1129671134e-01,1.3881499827e+00,-6.5728905750e-01,-4.1202513180e-01
1.020000,4.0823190750e-01,-8.1833334215e-01,-8.3148403190e-01,8.0383673341e-01,1.3945641691e+00,-6.6370717963e-01,-4.2480722611e-01
1.030000,4.1486920918e-01,-8.1821214494e-01,-8.3013960719e-01,7.9626058798e-01,1.4008175698e+00,-6.7004204036e-01,-4.3755082541e-01
1.040000,4.2130886562e-01,-8.1797913735e-01,-8.2889872427e-01,7.8876212143e-01,1.4067462182e+00,-6.7612029175e-01,-4.4993803258e-01
1.050000,4.2742744091e-01,-8.1766280158e-01,-8.2776774633e-01,7.8151118728e-01,1.4122778991e+00,-6.8184287391e-01,-4.6175346084e-01
1.060000,4.3358770368e-01,-8.1723930090e-01,-8.2667639887e-01,7.7406546797e-01,1.4177499250e+00,-6.8755093744e-01,-4.7373249785e-01
1.070000,4.3919140370e-01,-8.1676991724e-01,-8.2571553351e-01,7.6717169214e-01,1.4226597412e+00,-6.9270506538e-01,-4.8471994907e-01
1.080000,4.4502565950e-01,-8.1618641081e-01,-8.2473575237e-01,7.5985537113e-01,1.4276966175e+00,-6.9803795370e-01,-4.9627613543e-01
1.090000,4.5017747497e-01,-8.1559547177e-01,-8.2388579215e-01,7.5328120038e-01,1.4320920257e+00,-7.0272191278e-01,-5.0659035372e-01
1.100000,4.5553459625e-01,-8.1488553965e-01,-8.2301283752e-01,7.4627994295e-01,1.4366604206e+00,-7.0757277241e-01,-5.1758204316e-01
1.110000,4.6008971579e-01,-8.1420956714e-01,-8.2227397466e-01,7.4020146483e-01,1.4405411895e+00,-7.1168614953e-01,-5.2713263816e-01
1.120000,4.6492997173e-01,-8.1341014748e-01,-8.2148382131e-01,7.3359724544e-01,1.4446700340e+00,-7.1605131238e-01,-5.3753555947e-01
1.130000,4.6898090205e-01,-8.1267318606e-01,-8.2081104860e-01,7.2794342172e-01,1.4481416306e+00,-7.1970619987e-01,-5.4648428922e-01
1.140000,4.7328287645e-01,-8.1181424565e-01,-8.2007591323e-01,7.2179161198e-01,1.4518590813e+00,-7.2359629024e-01,-5.5629164560e-01
1.150000,4.7684387404e-01,-8.1103632301e-01,-8.1944255003e-01,7.1656498903e-01,1.4549751969e+00,-7.2683020490e-01,-5.6470620714e-01
1.160000,4.8072116275e-01,-8.1013054907e-01,-8.1871130498e-01,7.1076850918e-01,1.4583531842e+00,-7.3036989141e-01,-5.7405146838e-01
1.170000,4.8373448374e-01,-8.0933258682e-01,-8.1810251360e-01,7.0604443143e-01,1.4611268339e+00,-7.3315678967e-01,-5.8191701040e-01
1.180000,4.8702875182e-01,-8.0841675802e-01,-8.1738716049e-01,7.0080550171e-01,1.4641263133e+00,-7.3622700672e-01,-5.9062814236e-01
1.190000,4.8967964767e-01,-8.0759332667e-01,-8.1675422441e-01,6.9638938726e-01,1.4666628287e+00,-7.3874290218e-01,-5.9818602887e-01
1.200000,4.9231821880e-01,-8.0670007244e-01,-8.1606806152e-01,6.9182573165e-01,1.4692808462e+00,-7.4128992879e-01,-6.0616262892e-01
1.210000,4.9454967111e-01,-8.0587132717e-01,-8.1542714527e-01,6.8779739289e-01,1.4715904549e+00,-7.4349034001e-01,-6.1336974172e-01
1.220000,4.9670083921e-01,-8.0500167447e-01,-8.1474773193e-01,6.8374940170e-01,1.4739134482e+00,-7.4565921948e-01,-6.2077376224e-01
1.230000,4.9867132684e-01,-8.0415013921e-01,-8.1405747643e-01,6.7992083187e-01,1.4760815621e+00,-7.4769004273e-01,-6.2785993842e-01
1.240000,5.0044025042e-01,-8.0329957661e-01,-8.1336117328e-01,6.7627662496e-01,1.4781665720e+00,-7.4957524398e-01,-6.3481834315e-01
1.250000,5.0206764761e-01,-8.0243949771e-01,-8.1263585002e-01,6.7273979595e-01,1.4801907976e+00,-7.5137189147e-01,-6.4173261527e-01
1.260000,5.0346956185e-01,-8.0161518016e-01,-8.1193220320e-01,6.6949158544e-01,1.4820689554e+00,-7.5298319161e-01,-6.4827082645e-01
1.270000,5.0478916245e-01,-8.0075659989e-01,-8.1119351643e-01,6.6623673947e-01,1.4839652730e+00,-7.5456229447e-01,-6.5499310032e-01
1.280000,5.0592869533e-01,-7.9995788452e-01,-8.1050468748e-01,6.6329137256e-01,1.4856869944e+00,-7.5596808534e-01,-6.6118186130e-01
1.290000,5.0708937308e-01,-7.9909253481e-01,-8.0976025962e-01,6.6017265002e-01,1.4875092990e+00,-7.5743597386e-01,-6.6781662925e-01
1.300000,5.0811053944e-01,-7.9830390514e-01,-8.0908693212e-01,6.5736995934e-01,1.4891394370e+00,-7.5874347840e-01,-6.7380828204e-01
1.310000,5.0923715035e-01,-7.9742283350e-01,-8.0834555713e-01,6.5426172951e-01,1.4909293199e+00,-7.6018608218e-01,-6.8043863516e-01
